ticket_id,description,category,priority,created_date
INC0000204,Cannot reset password for security system. Authentication 0x80004005,Security,Medium,2025-07-12
INC0002433,Slack software performance is malfunctioning,Software,Critical,2025-07-12
INC0001517,keyboard hardware malfunction - making unusual noise,Hardware,Medium,2025-07-12
INC0000484,Unauthorized access attempt to corporate email - security breach,Security,Low,2025-07-12
INC0003001,Network connection to switch is very slow,Network,Medium,2025-07-12
INC0004562,scanner hardware malfunction - making unusual noise,Hardware,Low,2025-07-12
INC0000940,reporting database database backup unresponsive. Error: 500,Database,High,2025-07-12
INC0004429,Security vulnerability detected in security system,Security,Medium,2025-07-12
INC0002982,"Need replacement printer, current hardware keeps failing",Hardware,Medium,2025-07-12
INC0000249,account locked for active directory. security breach detected,Security,High,2025-07-12
INC0002001,VPN very slow when connecting to router,Network,Medium,2025-07-12
INC0002582,server unresponsive. Error: access denied. Please help,Hardware,Medium,2025-07-12
INC0002513,Application Chrome browser very slow after software update,Software,Low,2025-07-12
INC0003757,scanner hardware malfunction - making unusual noise,Hardware,Medium,2025-07-12
INC0000382,Hardware device webcam showing access denied - high priority,Hardware,Medium,2025-07-12
INC0000025,Slow database query performance on customer DB,Database,High,2025-07-12
INC0000674,Unauthorized access attempt to admin portal - security breach (affecting multiple users),Security,Low,2025-07-12
INC0004290,Database corruption in customer DB table,Database,Medium,2025-07-12
INC0003267,server not working. Error: 500. Please help,Hardware,High,2025-07-12
INC0001519,server very slow. Error: timeout. Please help,Security,Low,2025-07-12
INC0003690,Database query timeout on SQL Server database,Database,High,2025-07-12
INC0001671,Unable to access VPN. Network timeout after 60 seconds,Network,Medium,2025-07-12
INC0002729,Unauthorized access attempt to admin portal - security breach,Security,Medium,2025-07-12
INC0004920,server unresponsive. Error: null pointer. Please help,Database,Medium,2025-07-12
INC0004574,Account locked for admin portal. Security certificate expired,Security,Low,2025-07-12
INC0004436,service keeps failing. error: connection refused,Network,Low,2025-07-12
INC0002083,Teams software crashes when loading data,Software,Critical,2025-07-12
INC0002202,system unresponsive. Error: 0x80004005. Please help,Hardware,Critical,2025-07-12
INC0001883,Slack software crashes when saving files,Software,Medium,2025-07-12
INC0004537,Hardware device webcam showing 500,Hardware,Low,2025-07-12
INC0000391,Cannot connect to VPN. Getting access denied error,Network,High,2025-07-12
INC0001641,WiFi connectivity issue - 404,Network,Medium,2025-07-12
INC0000906,Network connection to switch is not working,Network,Medium,2025-07-12
INC0001526,network connection to firewall is very slow,Network,Medium,2025-07-12
INC0004109,Cannot reset password for Active Directory. Authentication access denied,Security,Medium,2025-07-12
INC0002076,Network connection to firewall is very slow,Network,High,2025-07-12
INC0001355,system very slow. Error: timeout,Database,High,2025-07-12
INC0001063,Teams software crashes when saving files,Software,Critical,2025-07-12
INC0004989,Permission denied accessing corporate email - security restriction,Security,Low,2025-07-12
INC0003941,switch connectivity issue - 404,Network,High,2025-07-12
INC0003067,keyboard is unresponsive. Hardware failure error: 404,Hardware,High,2025-07-12
INC0004708,Adobe Reader software performance is not working,Software,Critical,2025-07-12
INC0003016,Cannot connect to proxy server. Getting connection refused error,Network,Medium,2025-07-12
INC0002456,VPN not working when connecting to switch (affecting multiple users),Network,Low,2025-07-12
INC0000793,Software error in Microsoft Office: 0x80004005,Software,Critical,2025-07-12
INC0002517,laptop is unresponsive. Hardware failure error: connection refused,Hardware,Medium,2025-07-12
INC0000254,Unauthorized access attempt to Active Directory - security breach,Security,Low,2025-07-12
INC0002802,mouse not detected by system,Hardware,Medium,2025-07-12
INC0000721,Unable to access VPN. Network timeout after 300 seconds,Network,Medium,2025-07-12
INC0002098,slack software performance is malfunctioning,Software,Low,2025-07-12
INC0002062,Physical issue with scanner - very slow,Hardware,Medium,2025-07-12
INC0004967,mouse hardware malfunction - making unusual noise,Hardware,High,2025-07-12
INC0003043,microsoft office software performance is keeps failing,Software,High,2025-07-12
INC0004629,Permission denied accessing admin portal - security restriction,Security,Critical,2025-07-12
INC0002563,Microsoft Office software performance is malfunctioning,Software,High,2025-07-12
INC0004587,scanner is very slow. Hardware failure error: null pointer,Hardware,High,2025-07-12
INC0002685,Database corruption in customer DB table,Database,Medium,2025-07-12
INC0001336,DNS server connectivity issue - access denied,Network,Medium,2025-07-12
INC0002741,VPN keeps failing when connecting to firewall,Network,Low,2025-07-12
INC0002059,Security alert: authentication failure on user account,Security,Low,2025-07-12
INC0001372,Hardware device webcam showing timeout,Hardware,Low,2025-07-12
INC0002519,Cannot reset password for corporate email. Authentication access denied,Security,Medium,2025-07-12
INC0000951,Network connection to VPN is not working,Network,Medium,2025-07-12
INC0002356,Network outage affecting VPN,Network,Medium,2025-07-12
INC0004098,Adobe Reader software license unresponsive,Software,Critical,2025-07-12
INC0002380,Cannot connect to customer DB database server. access denied,Database,Critical,2025-07-12
INC0001693,service not working. Error: connection refused - URGENT,Software,High,2025-07-12
INC0003702,Hardware device keyboard showing 500,Hardware,Critical,2025-07-12
INC0003973,Cannot install Teams application. Error: 0x80004005,Software,High,2025-07-12
INC0001825,Slow database query performance on inventory DB,Database,Medium,2025-07-12
INC0000633,Application Zoom very slow after software update,Software,High,2025-07-12
